firmname,firmfounding,firmstate,firmzip,firmtype,firmmsa,firmtype2,d,remove
A-Rod Corp,2003.1.1,CA,91364,Private Equity Firm,4480,IVC,1,
A-Star Partners LLC,2021.7.21,CA,94129,Private Equity Firm,7360,IVC,1,
A-Street Ventures LP,2021.1.1,NJ,7310,Private Equity Firm,3640,IVC,1,
A.Capital Ventures,2014.1.1,CA,94301,Private Equity Firm,7400,IVC,1,
A.R.I.S.E. 2.0,2013.1.1,IL,60191,Incubator/Development Program,1600,Non-Financial,1,
A100X LLC,2021.1.1,CA,94101,Private Equity Firm,7360,IVC,1,
A195 Capital,2020.1.1,PR,NA,Corporate PE/Venture,0,CVC,1,
A2A,2019.1.1,MI,48104,Angel Group,440,Angel,1,
A3 Ventures Lab LLC,2016.1.1,CA,94704,Private Equity Firm,5775,IVC,1,
AAF Management Ltd,2016.1.1,DC,22207,Private Equity Firm,8840,IVC,1,
AAM 15 Management LLC,2009.5.18,MA,1803,Private Equity Firm,1120,IVC,1,
AB Liquidating Corp,1982.1.1,CA,94089,Corporate PE/Venture,7400,CVC,1,
ABB Asea Brown Boveri Ltd.,1984.1.1,NY,10017,Corporate PE/Venture,5600,CVC,1,
ABN AMRO Private Equity,1995.1.1,IL,60604,Bank Affiliated,1600,Financial,1,
ABP Acquisition Corp,1986.1.1,CT,6830,Private Equity Firm,8040,IVC,1,
ABP Capital LLC,2015.1.1,CA,92024,Investment Management Firm,7320,Financial,1,
ABR Capital Management LLC,2011.5.10,CA,94105,Private Equity Firm,7360,IVC,1,
ABRY Partners LLC,1989.1.1,MA,2199,Private Equity Firm,1120,IVC,1,
ABS Capital Partners LP,1990.1.1,MD,21030,Private Equity Firm,720,IVC,1,
ABS Ventures,1982.1.1,MA,2451,Private Equity Firm,1120,IVC,1,
AC Ventures of Florida LLC,2018.1.1,FL,32901,Private Equity Firm,4900,IVC,1,
ACA Ventures LLC,2009.1.1,FL,32825,Private Equity Firm,5960,IVC,1,
ACCELERATE 500 Inc,2018.1.1,DC,20005,Private Equity Firm,8840,IVC,1,
ACF Property Management Inc,1968.1.1,CA,91604,Investment Management Firm,4480,Financial,1,
ACHENBAUM CAPITAL PARTNERS L L C,1996.1.1,UN,NA,Bank Affiliated,0,Financial,1,
ACME LLC,2013.1.1,CA,94102,Private Equity Firm,7360,IVC,1,
ACP Inc,2010.9.1,CA,94301,Private Equity Firm,7400,IVC,1,
